Protein_Id	Gene_Symbol	Description	Group_ID	Number_of_peptides	Collapsed	Parsimony	default~ratios0 sum	TMTPro126	TMTPro128C	TMTPro129N	TMTPro130C	TMTPro131N	TMTPro131C	TMTPro133C	TMTPro134N	default~ratios9 sum
KY21.Chr3.292.v1.SL1-1			408	38	C	UR	0	5.05216	4.13532	4.9007	4.42561	4.94902	4.51327	5.28488	4.73906	0
KY21.Chr7.321.v1.nonSL5-1			409	8	C	UR	0	1.08315	0.94553	1.11631	0.86137	1.01576	0.849225	1.13437	0.99433	0
KY21.Chr12.1075.v1.SL1-1			410	20	C	UR	0	2.50471	2.2595	3.12294	2.7621	3.38595	2.29449	2.0501	1.62024	0
KY21.Chr13.464.v1.ND1-1			411	3	C	UR	0	0.054812	0.049057	0.137593	0.310982	0.49611	0.56653	0.68851	0.69641	0
KY21.Chr1.1391.v1.ND1-1			412	6	C	UR	0	0.00119066	0.00319632	0.00112694	0.00994755	0.013109	0.0080438	0.567812	5.39557	0
KY21.Chr1.1878.v1.SL1-1			413	32	C	UR	0	4.0001	4.03767	3.87963	3.16401	3.39532	3.65657	5.15163	4.71504	0
KY21.Chr3.1275.v1.SL1-1			414	32	C	UR	0	3.90459	3.44953	4.00476	3.65813	4.1472	3.80427	4.58791	4.4436	0
KY21.Chr12.167.v1.SL1-1			415	13	C	UR	0	2.10837	1.53065	1.72756	1.48686	1.72828	1.57318	1.57316	1.27194	0
KY21.Chr1.1879.v1.SL1-1			416	8	C	UR	0	0.805952	0.693909	0.883656	0.74868	0.896665	0.928319	1.56908	1.47376	0
KY21.Chr10.81.v1.SL1-2			417	10	C	UR	0	0.0312956	0.0302717	0.199703	0.00680759	0.110645	1.73348	4.86516	3.02265	0
KY21.Chr1.1863.v1.ND1-1			418	8	C	UR	0	0.0514438	0.0443868	0.0491231	0.0723916	0.813953	1.63292	2.75862	2.57716	0
KY21.Chr1.1862.v1.ND1-1			418	3	C	UR	0	0.336565	0.310457	0.234055	0.277293	0.39657	0.4627	0.51734	0.465026	0
KY21.Chr2.418.v1.nonSL9-3			419	4	C	UR	0	0.226184	0.205917	0.349847	0.45114	0.61094	0.55042	0.78968	0.81589	0
KY21.Chr6.555.v1.SL1-1			420	6	C	UR	0	0.89947	0.74924	0.79982	0.7655	0.83543	0.662215	0.717026	0.571295	0
KY21.Chr4.613.v1.SL1-1			421	21	C	UR	0	2.52196	1.97177	2.47049	2.19935	2.43448	3.17068	3.12078	3.11047	0
KY21.Chr1.1535.v1.SL1-1			422	2	C	UR	0	0.0201361	0.161023	0.077612	0.178299	0.184086	0.26636	0.45803	0.65445	0
KY21.Chr1.143.v1.SL2-1			423	2	C	UR	0	0.25155	0.190019	0.3097	0.24437	0.24389	0.27269	0.25729	0.23049	0
KY21.UAContig3.1.v1.ND1-1			424	1	C	UR	0	0.00069629	0.00069327	0.00063405	0.0089931	0.2875	0.33345	0.14763	0.22041	0
KY21.Chr1.425.v1.nonSL2-1			425	2	C	UR	0	0.00937117	0.00939983	0.014997	0.0114504	0.0281838	0.191229	0.8055	0.92987	0
KY21.Chr10.861.v2.SL1-2			426	6	C	UR	0	0.65867	0.570713	0.64329	0.67782	0.80029	0.76371	0.99304	0.89244	0
KY21.Chr5.89.v1.SL1-1			427	33	C	UR	0	3.88476	3.23336	4.2712	3.72984	4.73886	4.45133	4.56178	4.12887	0
KY21.Chr2.1222.v2.SL3-1			428	28	C	UR	0	2.88872	2.3623	3.07159	3.16011	3.91147	3.74591	4.75039	4.10957	0
KY21.Chr2.621.v1.SL1-1			429	14	C	UR	0	1.69356	1.43327	1.89662	1.73099	1.98188	1.7766	1.87874	1.60835	0
KY21.Chr3.248.v1.nonSL19-1			430	16	C	UR	0	2.46634	2.21563	2.63545	2.05628	1.98366	1.50185	1.80534	1.33543	0
KY21.Chr1.683.v1.SL1-1			431	11	C	UR	0	1.23565	0.956865	1.38484	1.31338	1.42695	1.36623	1.6635	1.65261	0
KY21.Chr13.231.v1.SL1-1			432	33	C	UR	0	0.518079	0.386844	0.51281	0.26202	0.446072	2.69911	10.2723	17.9027	0
KY21.Chr8.713.v1.SL1-1			433	14	C	UR	0	1.82811	1.59024	1.73138	1.50491	1.76166	1.6067	2.07225	1.90477	0
KY21.Chr7.223.v1.SL1-1			434	30	C	UR	0	3.95011	3.43475	3.79931	3.21149	3.86342	3.49074	4.3463	3.9039	0
KY21.Chr1.209.v1.SL1-1			435	21	C	UR	0	2.53624	2.08544	2.44281	2.23714	2.89353	2.53747	3.17798	3.08946	0
KY21.Chr5.885.v1.nonSL9-1			436	12	C	UR	0	1.75829	1.53314	1.76532	1.31115	1.58682	1.29446	1.52332	1.22751	0
KY21.Chr12.783.v1.SL1-1			437	50	C	UR	0	6.20463	5.26629	6.54882	5.71509	6.69155	6.33328	7.24151	5.99887	0
KY21.Chr7.882.v1.SL1-1			437	22	C	UR	0	2.6548	2.19	2.56962	2.64563	3.05197	2.84801	3.08227	2.95771	0
sp|Q04695|K1C17_HUMAN_contaminant	KRT17	Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2	438	7	C	UR	0	1.48189	1.31471	0.735786	0.88536	0.526457	0.748245	0.508744	0.798814	0
sp|P02533|K1C14_HUMAN_contaminant	KRT14	Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4	438	12	C	UR	0	2.53387	1.24113	1.62999	1.51599	0.779753	1.15015	1.66354	1.48561	0
sp|P13645|K1C10_HUMAN_contaminant	KRT10	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6	438	60	C	UR	0	10.1966	4.60496	9.8228	6.50663	4.12984	7.99536	10.6795	6.06437	0
sp|P08779|K1C16_HUMAN_contaminant	KRT16	Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4	438	19	C	UR	0	4.54853	1.98717	2.28383	2.25066	1.62736	1.80868	2.39673	2.09701	0
sp|P13646|K1C13_HUMAN_contaminant	KRT13	Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4	438	7	C	UR	0	0.387726	0.104421	0.255892	0.214962	0.146806	0.367116	4.83129	0.691792	0
KY21.Chr9.345.v1.SL1-1			438	16	C	UR	0	2.03961	1.70082	1.86023	1.44601	1.69702	1.87325	2.65247	2.73055	0
sp|P35527|K1C9_HUMAN_contaminant	KRT9	Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3	438	30	C	UR	0	5.56367	2.85299	5.55764	4.37107	1.70946	3.56523	3.45807	2.92189	0
sp|O76014|KRT37_HUMAN_contaminant	KRT37	Keratin, type I cuticular Ha7 OS=Homo sapiens GN=KRT37 PE=2 SV=3	438	2	C	UR	0	0.26339	0.159545	0.23411	0.180441	0.194665	0.27306	0.32401	0.37077	0
sp|Q92764|KRT35_HUMAN_contaminant	KRT35	Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5	438	1	C	UR	0	0.10898	0.078828	0.11548	0.11985	0.14405	0.15406	0.13262	0.14614	0
KY21.Chr1.695.v1.SL1-1			439	11	C	UR	0	1.66264	1.28329	1.4764	1.06508	1.29988	1.16225	1.59545	1.45499	0
##KY21.Chr8.644.v1.SL1-1		#### false discovery correction	440	1	C	UR	0	0.080737	0.073633	0.066685	0.095304	0.097275	0.13289	0.19344	0.26003	0
KY21.Chr7.62.v1.ND1-1			441	2	C	UR	0	0.28694	0.24936	0.25269	0.28028	0.26891	0.23087	0.22251	0.208438	0
KY21.Chr1.1019.v1.SL1-1			442	11	C	UR	0	1.16788	0.99176	1.27442	1.35977	1.55889	1.39137	1.74421	1.51174	0
KY21.Chr8.695.v1.SL1-1			443	57	C	UR	0	6.82647	6.24525	6.69329	6.63045	7.39767	6.97662	8.35718	7.87305	0
KY21.Chr11.543.v1.nonSL2-1			444	13	C	UR	0	1.6128	1.34784	1.65215	1.54239	1.80905	1.62729	1.85735	1.55113	0
KY21.Chr7.276.v1.SL1-1			445	16	C	UR	0	1.94431	1.75115	2.25266	1.78345	2.11582	1.83218	2.34367	1.97676	0
KY21.Chr13.434.v1.SL1-1			446	58	C	UR	0	6.66081	5.67878	7.00721	6.89536	7.85296	7.30375	8.66261	7.9385	0
KY21.Chr4.319.v1.ND1-1			447	5	C	UR	0	0.74894	0.665636	0.68119	0.432123	0.514081	0.527316	0.74272	0.68799	0
KY21.Chr8.394.v1.ND1-1			448	18	C	UR	0	2.44142	2.17926	2.40467	1.91295	2.23848	1.8854	2.5539	2.38391	0
KY21.Chr8.297.v1.SL1-1			449	11	C	UR	0	1.34165	1.09987	1.26539	1.30755	1.51795	1.51316	1.55379	1.40069	0
KY21.Chr3.717.v2.SL4-5			449	53	C	UR	0	7.04281	5.90793	6.60318	6.02333	6.90136	6.58872	7.30644	6.62622	0
KY21.Chr1.1653.v1.SL1-1			450	1	C	UR	0	0.075447	0.070278	0.16952	0.10343	0.11125	0.10869	0.18872	0.17267	0
KY21.Chr1.1050.v1.SL1-1			451	17	C	UR	0	2.19138	1.91668	2.36967	1.84328	2.1295	1.84402	2.44021	2.26527	0
KY21.Chr1.1717.v1.nonSL5-1			452	21	C	UR	0	2.82441	2.39762	2.69665	2.45071	2.75092	2.43034	2.95238	2.49697	0
KY21.Chr10.1084.v1.nonSL2-2			453	70	C	UR	0	8.02206	6.89631	8.27791	6.82926	7.94309	8.44917	12.156	11.4263	0
KY21.Chr5.39.v2.SL2-1			454	12	C	UR	0	1.43403	1.19458	1.56123	1.36977	1.65719	1.49222	1.84055	1.45039	0
KY21.Chr1.1312.v1.SL1-1			455	15	C	UR	0	1.68082	1.41488	1.67983	1.80694	2.07796	1.97481	2.22532	2.13944	0
KY21.Chr7.479.v1.SL4-1			456	35	C	UR	0	3.92832	3.42684	3.95316	3.79916	4.92584	4.82838	5.26518	4.8731	0
KY21.Chr3.748.v1.ND1-1			457	5	C	UR	0	0.450146	0.514555	0.64543	0.59341	0.67549	0.66443	0.79134	0.6652	0
KY21.Chr2.1080.v1.SL1-1			458	3	C	UR	0	0.0520375	0.055119	0.286555	0.41864	0.59716	0.49936	0.53173	0.5594	0
KY21.Chr4.1149.v1.SL1-1			459	2	C	UR	0	0.22865	0.193644	0.23614	0.186753	0.26523	0.25382	0.33353	0.30223	0
KY21.Chr14.264.v1.SL1-4			460	10	C	UR	0	1.3079	1.14373	1.23284	1.07051	1.12982	1.12671	1.55982	1.42867	0
KY21.Chr2.262.v1.SL1-1			461	1	C	UR	0	0.0063151	0.00013505	0.0069434	0.024928	0.22537	0.24825	0.24767	0.24039	0
KY21.Chr13.233.v1.SL1-1			462	12	C	UR	0	1.31875	1.15064	1.49294	1.50887	1.60023	1.55217	1.81534	1.56112	0
KY21.Chr2.1378.v1.SL1-1			463	19	C	UR	0	2.54123	2.26619	2.65251	2.07587	2.38218	2.11358	2.54152	2.42692	0
KY21.Chr9.55.v5.nonSL13-1			464	24	C	UR	0	1.94884	1.63873	1.65186	1.06433	1.5259	2.44626	5.54319	8.1809	0
KY21.Chr6.586.v1.SL1-1			464	8	C	UR	0	0.0384896	0.0169593	0.176632	0.45742	1.12557	1.60169	2.12679	2.45646	0
KY21.Chr9.55.v1.SL3-1			464	1	C	UR	0	0.093414	0.080674	0.055432	0.047665	0.047717	0.091963	0.21455	0.36859	0
KY21.Chr14.295.v1.nonSL2-1			464	6	C	UR	0	0.70901	0.574479	0.711098	0.65699	0.76516	0.73806	0.94372	0.90151	0
KY21.Chr3.1241.v1.SL1-1			464	1	C	UR	0	0.0021241	0.00022353	0.00022318	0.000067154	0.092463	0.25778	0.3802	0.26692	0
KY21.Chr6.339.v1.SL2-1			465	42	C	UR	0	4.95738	4.21269	5.7004	4.84356	5.59318	4.77074	6.17571	5.74636	0
KY21.Chr9.165.v1.SL1-1			466	27	C	UR	0	3.37128	2.70225	3.47135	2.97699	3.81402	3.33795	3.92604	3.40012	0
KY21.Chr3.408.v1.SL1-1			467	14	C	UR	0	1.69386	1.50556	1.62763	1.83522	2.14345	1.87551	1.87407	1.4447	0
KY21.Chr2.869.v1.nonSL1-1			468	1	C	UR	0	0.087336	0.068408	0.091638	0.15283	0.14206	0.15912	0.15036	0.14826	0
KY21.Chr3.1499.v1.nonSL8-1			469	93	C	UR	0	13.2592	10.9567	12.6984	10.5962	11.9432	10.8185	12.3892	10.3385	0
KY21.Chr4.341.v1.SL1-1			470	4	C	UR	0	0.56328	0.41958	0.48916	0.49908	0.6141	0.48841	0.50256	0.423843	0
KY21.Chr1.1598.v1.nonSL3-1			470	53	C	UR	0	6.57519	5.8036	6.43454	5.45349	6.31292	6.10419	8.55517	7.76097	0
KY21.Chr3.1371.v1.SL1-1			470	13	C	UR	0	2.1019	1.7582	1.85399	1.31067	1.48557	1.30901	1.75812	1.42254	0
KY21.Chr7.532.v2.nonSL4-1			470	26	C	UR	0	3.91988	3.34141	3.55624	3.04712	3.2442	2.79859	3.74298	2.34962	0
KY21.Chr3.330.v1.nonSL6-1			471	24	C	UR	0	2.62561	2.34199	3.09361	2.66956	3.21702	2.96648	3.80458	3.28115	0
KY21.Chr14.228.v1.nonSL11-1			472	13	C	UR	0	1.62903	1.53178	1.57637	1.62116	1.72261	1.62188	1.80849	1.48868	0
KY21.Chr2.902.v3.SL4-2			473	12	C	UR	0	1.84953	1.5906	1.84897	1.45384	1.68285	1.4151	1.29846	0.860662	0
KY21.Chr8.1144.v1.SL1-1			475	13	C	UR	0	0.556669	0.497541	0.877019	1.14854	2.07495	2.52505	2.95946	2.36075	0
KY21.Chr8.1144.v2.SL1-2			475	3	C	UR	0	0.173399	0.206329	0.276195	0.226852	0.48837	0.62942	0.60337	0.39607	0
KY21.Chr7.274.v1.nonSL6-1			476	6	C	UR	0	0.573994	0.482795	0.599085	0.629852	0.81133	0.76857	1.12733	1.00706	0
KY21.Chr8.326.v1.SL1-1			476	3	C	UR	0	0.253251	0.148706	0.24359	0.192954	0.31422	0.302967	0.61928	0.92504	0
KY21.Chr9.66.v1.SL1-1			476	11	C	UR	0	1.44881	1.20873	1.27209	1.29592	1.43048	1.25416	1.54246	1.54735	0
KY21.Chr7.248.v1.SL1-1			476	9	C	UR	0	1.18625	0.93732	1.01771	0.865625	1.17344	0.999817	1.41587	1.404	0
KY21.Chr1.901.v1.nonSL11-2			476	13	C	UR	0	2.00583	1.4212	1.58386	1.36224	1.61864	1.54847	1.82822	1.63152	0
KY21.Chr10.82.v1.nonSL8-1			476	3	C	UR	0	0.41412	0.3499	0.37296	0.37276	0.37086	0.34657	0.3894	0.38345	0
KY21.Chr10.933.v1.ND1-1			476	16	C	UR	0	1.88924	1.60848	1.66667	1.52545	2.16042	1.80312	2.59301	2.75366	0
KY21.Chr1.80.v1.SL2-1			476	4	C	UR	0	0.53997	0.413186	0.48056	0.45271	0.58778	0.44117	0.55179	0.53284	0
KY21.Chr6.522.v1.SL1-1			476	9	C	UR	0	1.07185	0.668455	1.0633	0.999504	1.18026	0.941758	1.50965	1.56525	0
KY21.Chr9.618.v1.nonSL4-1			476	12	C	UR	0	1.38019	1.10411	1.23532	1.07223	1.50319	1.37989	2.16618	2.15889	0
KY21.Chr7.290.v1.SL1-1			476	2	C	UR	0	0.217141	0.186291	0.24277	0.185556	0.25671	0.26909	0.32071	0.32172	0
KY21.Chr2.864.v1.nonSL1-1			476	5	C	UR	0	0.620407	0.497867	0.591048	0.500325	0.67763	0.542011	0.75075	0.81998	0
KY21.Chr12.1077.v2.ND4-1			476	1	C	UR	0	0.038584	0.042738	0.052852	0.045738	0.059461	0.14979	0.24817	0.36267	0
KY21.Chr7.732.v1.SL1-1			477	8	C	UR	0	1.15791	0.853281	0.959089	0.897996	0.98137	0.923344	1.122	1.10496	0
KY21.Chr10.300.v1.SL2-3			478	30	C	UR	0	3.93003	3.3322	3.96992	3.32725	3.83311	3.64527	4.21977	3.74247	0
KY21.Chr4.710.v2.SL1-1			479	11	C	UR	0	1.22286	1.01012	1.37041	0.927411	2.69037	1.04683	1.3796	1.35234	0
KY21.Chr5.717.v4.SL1-1			480	26	C	UR	0	3.28508	2.7945	3.11795	2.68305	2.86	2.81387	3.60664	4.83895	0
KY21.Chr2.201.v1.nonSL2-1			481	8	C	UR	0	1.03605	0.766465	1.0408	0.838681	1.0189	0.94476	1.07183	1.2825	0
KY21.Chr3.1205.v1.SL2-4			482	24	C	UR	0	1.76384	2.23037	3.02397	3.5275	4.98307	3.79296	2.9758	1.70244	0
KY21.Chr3.1631.v1.nonSL17-1			482	5	C	UR	0	2.49123	1.95856	0.183436	0.0647175	0.084402	0.049095	0.0773071	0.0912584	0
KY21.Chr9.69.v1.ND1-1			483	12	C	UR	0	1.47658	1.2295	1.4658	1.27955	1.56057	1.35931	1.83969	1.78906	0
KY21.Chr1.1798.v1.ND1-1			484	4	C	UR	0	0.0295072	0.0437056	0.130449	0.242744	0.48558	0.75386	1.10475	1.2094	0
KY21.Chr11.649.v2.SL1-1			485	19	C	UR	0	2.04614	1.73094	2.29612	2.17785	2.63421	2.53964	2.99607	2.57903	0
KY21.Chr8.1364.v1.SL2-1			485	15	C	UR	0	2.13093	1.90117	2.18041	1.56386	1.7819	1.59585	1.99459	1.8513	0
KY21.Chr9.223.v1.nonSL1-1			486	10	C	UR	0	1.30884	1.18877	1.35694	1.07624	1.64544	1.12883	1.26932	1.02558	0
sp|P48668|K2C6C_HUMAN_contaminant	KRT6C	Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3	487	12	C	UR	0	3.76369	1.73091	0.704372	1.41984	1.15592	1.01287	0.900401	1.31199	0
sp|P04259|K2C6B_HUMAN_contaminant	KRT6B	Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5	487	2	C	UR	0	0.71235	0.156007	0.111599	0.25316	0.2357	0.155639	0.124607	0.25095	0
sp|P04264|K2C1_HUMAN_contaminant	KRT1	Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	487	88	C	UR	0	16.9677	7.66849	15.0381	10.8451	5.45493	10.4352	12.1647	9.42571	0
sp|P13647|K2C5_HUMAN_contaminant	KRT5	Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3	487	16	C	UR	0	3.08638	1.62832	2.45372	1.90548	0.943481	1.67035	2.64333	1.66897	0
KY21.Chr3.1271.v1.SL1-1			487	20	C	UR	0	0.0322075	0.0464278	0.196278	0.0536762	0.195259	1.78304	6.69497	10.9981	0
sp|P35908|K22E_HUMAN_contaminant	KRT2	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2	487	44	C	UR	0	7.05105	2.8242	7.0993	4.74518	2.70305	5.97067	9.54457	4.06188	0
sp|P19013|K2C4_HUMAN_contaminant	KRT4	Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4	487	3	C	UR	0	0.482125	0.187249	0.104569	0.101491	0.210331	0.181669	1.44994	0.282623	0
sp|Q8N1N4|K2C78_HUMAN_contaminant	KRT78	Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2	487	9	C	UR	0	1.79496	0.560725	1.4423	1.13904	0.520102	1.00962	1.62477	0.908458	0
sp|Q6KB66|K2C80_HUMAN_contaminant	KRT80	Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2	487	4	C	UR	0	0.70801	0.37134	0.61098	0.47663	0.292815	0.48042	0.63924	0.420571	0
sp|P12035|K2C3_HUMAN_contaminant	KRT3	Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3 PE=1 SV=3	487	3	C	UR	0	0.62802	0.278416	0.285209	0.32133	0.210586	0.291013	0.48462	0.50081	0
KY21.Chr9.109.v2.nonSL1-1			487	19	C	UR	0	0.0801606	0.0807341	0.12975	0.0827487	0.147058	1.50877	6.15274	10.818	0
sp|Q7Z794|K2C1B_HUMAN_contaminant	KRT77	Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=1 SV=3	487	4	C	UR	0	0.82347	0.181593	0.68035	0.453194	0.2607	0.61743	0.62192	0.361336	0
sp|Q86Y46|K2C73_HUMAN_contaminant	KRT73	Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1	487	3	C	UR	0	0.404715	0.200844	0.394282	0.299899	0.162987	0.32374	0.9811	0.23244	0
KY21.Chr11.410.v1.SL2-1			488	19	C	UR	0	2.56942	2.1502	2.51377	2.024	2.29592	2.32814	2.73679	2.38174	0
KY21.Chr11.514.v1.SL2-1			489	27	C	UR	0	3.70375	3.25316	3.44915	3.10073	3.40086	3.1023	3.90603	3.08402	0
KY21.Chr1.2255.v1.nonSL5-1			490	12	C	UR	0	1.2797	1.00525	1.25344	1.44287	1.57218	1.49162	2.09205	1.86287	0
KY21.Chr9.61.v1.SL1-1			491	12	C	UR	0	0.892416	0.822079	1.08431	1.19532	1.73683	1.79788	2.38113	2.09003	0
KY21.Chr5.458.v1.SL1-1			492	55	C	UR	0	7.4341	6.0777	7.11784	6.02386	6.93156	6.25449	7.80236	7.358	0
KY21.Chr9.192.v1.SL3-1			492	22	C	UR	0	2.81962	2.27565	2.73421	2.57707	2.9958	2.68563	3.11684	2.7952	0
KY21.Chr5.848.v1.ND1-1			492	3	C	UR	0	0.33927	0.288022	0.35277	0.318224	0.42011	0.43602	0.44973	0.39583	0
KY21.Chr4.48.v2.SL1-2			493	9	C	UR	0	0.599203	0.568068	0.802146	0.825483	0.860865	1.23669	1.97907	2.12847	0
KY21.Chr4.229.v1.SL1-1			494	13	C	UR	0	1.79196	1.59141	1.67658	1.33754	1.6086	1.55577	1.77574	1.66235	0
KY21.Chr4.230.v1.SL1-1			494	8	C	UR	0	1.02561	0.90498	1.09006	0.93315	1.11983	0.814087	1.10508	1.00722	0
KY21.Chr9.23.v1.nonSL8-1			495	1	C	UR	0	0.026854	0.010835	0.013354	0.011949	0.042902	0.15879	0.29921	0.4361	0
KY21.Chr1.2187.v1.SL1-3			496	39	C	UR	0	0.201396	0.0456088	0.281164	0.232058	0.157509	0.379534	10.7834	26.9193	0
KY21.Chr12.460.v1.nonSL13-1			497	29	C	UR	0	3.82285	3.27024	3.82323	3.30068	3.71899	3.30515	3.93179	3.82706	0
KY21.Chr10.894.v1.nonSL3-1			498	5	C	UR	0	0.57226	0.446308	0.66043	0.460853	0.57488	0.59361	0.85684	0.83485	0
KY21.Chr3.997.v1.SL2-1			499	33	C	UR	0	3.849	3.15061	3.81926	3.29405	4.00663	4.02551	5.6572	5.19774	0
KY21.Chr8.395.v1.ND1-1			500	13	C	UR	0	1.61371	1.36202	1.61818	1.51234	1.80915	1.56127	1.87024	1.65311	0
KY21.Chr2.772.v1.nonSL1-1			501	8	C	UR	0	0.705929	0.533989	0.648961	1.1374	1.1967	1.05697	1.34734	1.37275	0
KY21.Chr8.629.v1.SL1-2			502	17	C	UR	0	1.76709	1.68337	1.84764	1.85763	2.21184	2.11893	2.69896	2.81461	0
KY21.Chr12.906.v1.SL2-1			503	11	C	UR	0	1.25548	1.1485	1.36575	1.25516	1.42864	1.48201	1.53473	1.5297	0
KY21.Chr8.929.v1.nonSL2-1			504	41	C	UR	0	5.24437	4.58383	5.1307	4.56882	5.17831	5.0445	6.04341	5.20603	0
KY21.Chr14.839.v1.SL1-1			504	29	C	UR	0	3.27703	2.93843	3.48715	3.34215	3.71852	3.62171	4.63223	3.98278	0
KY21.Chr8.814.v1.SL1-1			505	11	C	UR	0	1.03279	0.895294	1.21644	1.49912	1.75634	1.49018	1.58036	1.52951	0
KY21.Chr3.735.v1.nonSL1-1			506	26	C	UR	0	3.22905	2.75116	3.15405	3.00661	3.43046	3.16644	3.8843	3.37795	0
KY21.Chr12.109.v2.nonSL3-2			507	37	C	UR	0	4.72142	4.08281	4.77869	4.02782	4.70742	4.33059	5.60184	4.7494	0
KY21.Chr12.109.v1.nonSL2-1			507	4	C	UR	0	0.52309	0.45868	0.54476	0.455256	0.51612	0.444884	0.57474	0.48246	0
KY21.Chr13.131.v1.SL1-1			508	13	C	UR	0	1.56501	1.45142	1.62827	1.46448	1.75262	1.59986	1.91482	1.62351	0
KY21.Chr5.862.v1.nonSL1-1			508	8	C	UR	0	1.0917	1.00309	1.0144	0.92252	0.813948	0.811426	1.10401	1.23894	0
KY21.Chr13.374.v1.SL1-1			508	2	C	UR	0	0.00033178	0.0396828	0.118527	0.000336901	0.000337421	0.000164674	0.326836	1.51379	0
KY21.Chr10.1144.v1.SL1-1			508	2	C	UR	0	0.000041766	0.0372746	0.0868256	0.000048686	0.0000323831	0.115439	0.61664	1.14371	0
KY21.Chr9.639.v1.ND1-1			508	5	C	UR	0	0.0756515	0.0664264	0.100598	0.113642	0.0879463	0.200003	1.22652	3.12921	0
KY21.Chr3.1066.v1.nonSL2-1			509	23	C	UR	0	2.93884	2.50341	2.92415	2.69576	3.07511	2.69257	3.224	2.94615	0
KY21.Chr11.1065.v1.nonSL2-1			510	11	C	UR	0	1.38379	1.18408	1.40201	1.25215	1.35934	1.37018	1.61542	1.43302	0
KY21.Chr7.790.v2.SL2-1			511	30	C	UR	0	3.41238	0.406995	0.379407	0.372893	0.552078	1.31938	6.99646	16.5604	0
KY21.Chr8.552.v1.SL1-1			512	2	C	UR	0	0.229225	0.182299	0.18841	0.187615	0.256579	0.24781	0.35457	0.35348	0
KY21.Chr12.54.v1.SL1-1			513	19	C	UR	0	2.16104	1.80864	2.24783	2.32316	2.58565	2.58672	2.81846	2.46852	0
KY21.Chr8.1286.v1.SL1-1			514	14	C	UR	0	1.60252	1.26438	1.60967	1.52001	1.76281	1.80137	2.19631	2.2429	0
KY21.Chr8.606.v1.SL1-1			515	18	C	UR	0	2.60315	2.16626	2.52929	1.79483	2.21426	2.16065	2.50442	2.02708	0
KY21.Chr9.327.v1.nonSL5-1			516	32	C	UR	0	3.7653	3.14878	3.78712	3.77708	4.35453	4.05695	4.85937	4.25087	0
KY21.Chr4.20.v1.SL2-1			517	12	C	UR	0	1.8651	1.61213	1.8587	1.57819	1.67646	1.3692	1.1156	0.924611	0
KY21.Chr13.106.v1.SL2-1			518	30	C	UR	0	3.7869	3.21548	3.8476	3.37949	3.76535	3.54499	4.3791	4.08112	0
KY21.Chr2.104.v1.SL1-1			519	10	C	UR	0	1.20049	1.00698	1.21527	1.17903	1.40552	1.24841	1.41762	1.32669	0
KY21.Chr4.134.v2.SL3-2			519	6	C	UR	0	0.21841	0.274047	0.315972	0.302003	0.384782	0.97123	1.77092	1.76264	0
KY21.Chr13.52.v1.SL2-1			520	25	C	UR	0	3.05114	3.64958	3.07737	2.75527	3.04254	2.73698	3.41228	3.27476	0
KY21.Chr1.350.v1.SL2-1			521	7	C	UR	0	1.11055	0.95624	0.9868	0.84949	0.95965	0.74532	0.753844	0.638085	0
KY21.Chr11.1316.v1.SL1-1			522	20	C	UR	0	2.28453	2.07279	2.47983	2.17819	2.59001	2.55691	3.1274	2.71037	0
KY21.Chr3.475.v4.nonSL5-1			523	85	C	UR	0	11.7888	9.31911	11.1411	9.44624	10.8759	9.66086	11.635	11.1329	0
KY21.Chr14.854.v2.nonSL3-1			524	13	C	UR	0	1.3138	1.38066	1.47791	1.61135	1.96547	1.71247	1.94539	1.59299	0
KY21.Chr2.316.v1.SL2-1			525	4	C	UR	0	0.48421	0.422817	0.44963	0.43859	0.55227	0.56863	0.5701	0.51374	0
KY21.Chr3.1257.v1.nonSL4-1			526	13	C	UR	0	1.19186	1.16697	1.57535	1.32822	1.69561	1.7533	2.15705	2.13171	0
