ID_protein	gene	gene_name	PE	SV
tr|F6XMP8|F6XMP8_CIOIN	Polyadenylate-binding protein		PE=3	SV=2
tr|F6XMQ8|F6XMQ8_CIOIN	Cas1p 10 TM acyl transferase domain-containing protein		PE=3	SV=2
tr|F6XMT2|F6XMT2_CIOIN	Cas1p 10 TM acyl transferase domain-containing protein		PE=3	SV=2
tr|F6XMT9|F6XMT9_CIOIN	RRM domain-containing protein		PE=4	SV=2
tr|F6XMV6|F6XMV6_CIOIN	Golgi integral membrane protein 4		PE=4	SV=2
tr|F6XN50|F6XN50_CIOIN	GPR180/TMEM145 transmembrane domain-containing protein		PE=4	SV=2
tr|F6XNC0|F6XNC0_CIOIN	Integrin alpha-2 domain-containing protein		PE=3	SV=2
tr|F6XND0|F6XND0_CIOIN	Small monomeric GTPase		PE=4	SV=2
tr|F6XNG1|F6XNG1_CIOIN	Membrane-bound transcription factor site-2 protease		PE=3	SV=2
tr|F6XNK4|F6XNK4_CIOIN	Zinc transporter ZIP9		PE=3	SV=2
tr|F6XNX8|F6XNX8_CIOIN	SURF1-like protein		PE=3	SV=2
tr|F6XP34|F6XP34_CIOIN	phosphatidylinositol N-acetylglucosaminyltransferase	LOC100178746	PE=4	SV=2
tr|F6XP43|F6XP43_CIOIN	Tyrosine-protein kinase		PE=3	SV=2
tr|F6XP52|F6XP52_CIOIN	Uncharacterized protein	siat4	PE=3	SV=1
tr|F6XPD3|F6XPD3_CIOIN	Nuclear respiratory factor 1 NLS/DNA-binding dimerisation domain-containing protein		PE=3	SV=2
tr|F6XPS9|F6XPS9_CIOIN	Deoxyuridine 5'-triphosphate nucleotidohydrolase	LOC100183847	PE=3	SV=2
tr|F6XPZ4|F6XPZ4_CIOIN	TATA-box-binding protein	LOC100177214	PE=3	SV=2
tr|F6XQ30|F6XQ30_CIOIN	Transporter		PE=3	SV=2
tr|F6XQ45|F6XQ45_CIOIN	SAM-dependent MTase RsmB/NOP-type domain-containing protein		PE=3	SV=2
tr|F6XQD4|F6XQD4_CIOIN	Mismatch repair endonuclease PMS2-like	LOC100180400	PE=3	SV=2
tr|F6XQJ5|F6XQJ5_CIOIN	Protein kinase domain-containing protein		PE=4	SV=1
tr|F6XQP8|F6XQP8_CIOIN	CDGSH iron-sulfur domain-containing protein 2 homologue	LOC100179954	PE=3	SV=2
tr|F6XQV0|F6XQV0_CIOIN	Vitellogenin domain-containing protein		PE=4	SV=2
tr|F6XQY6|F6XQY6_CIOIN	Fucosyltransferase		PE=3	SV=2
tr|F6XR12|F6XR12_CIOIN	Large ribosomal subunit protein uL3m	LOC100175965	PE=3	SV=1
tr|F6XRM9|F6XRM9_CIOIN	Elongation of very long chain fatty acids protein	LOC100186020	PE=3	SV=2
tr|F6XRP8|F6XRP8_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=3	SV=2
tr|F6XS01|F6XS01_CIOIN	Nuclear factor 1		PE=3	SV=1
tr|F6XS17|F6XS17_CIOIN	glutaminyl-peptide cyclotransferase	LOC100175874	PE=3	SV=2
tr|F6XSG2|F6XSG2_CIOIN	Outer dynein arm-docking complex subunit 4	LOC100179722	PE=4	SV=2
tr|F6XSI6|F6XSI6_CIOIN	G-protein coupled receptors family 1 profile domain-containing protein		PE=4	SV=2
tr|F6XSK1|F6XSK1_CIOIN	Fluoride export protein 2	LOC100176892	PE=3	SV=1
tr|F6XSL1|F6XSL1_CIOIN	Ubiquitin carboxyl-terminal hydrolase		PE=3	SV=2
tr|F6XT34|F6XT34_CIOIN	HMG box domain-containing protein		PE=4	SV=2
tr|F6XTJ3|F6XTJ3_CIOIN	Nucleolar GTP-binding protein 1		PE=3	SV=1
tr|F6XTL0|F6XTL0_CIOIN	"Beta-1,4-galactosyltransferase"		PE=3	SV=2
tr|F6XTN6|F6XTN6_CIOIN	Transporter		PE=3	SV=2
tr|F6XTV8|F6XTV8_CIOIN	Transcription elongation factor	LOC100183293	PE=3	SV=1
tr|F6XTY4|F6XTY4_CIOIN	RNA helicase	LOC100178569	PE=4	SV=1
tr|F6XTZ0|F6XTZ0_CIOIN	RRM domain-containing protein		PE=3	SV=2
tr|F6XTZ6|F6XTZ6_CIOIN	NAC-A/B domain-containing protein		PE=4	SV=2
tr|F6XU15|F6XU15_CIOIN	dolichyl-diphosphooligosaccharide--protein glycotransferase		PE=3	SV=2
tr|F6XU45|F6XU45_CIOIN	Transmembrane protein 138	LOC100184889	PE=3	SV=1
tr|F6XU54|F6XU54_CIOIN	Tartrate-resistant acid phosphatase type 5		PE=4	SV=2
tr|F6XUD5|F6XUD5_CIOIN	Aminotransferase class I/classII domain-containing protein		PE=4	SV=2
tr|F6XUF7|F6XUF7_CIOIN	Transcription factor protein	otp	PE=4	SV=2
tr|F6XUI4|F6XUI4_CIOIN	Rab3 GTPase-activating protein catalytic subunit		PE=3	SV=2
tr|F6XVB0|F6XVB0_CIOIN	Acidic amino acid decarboxylase GADL1	LOC100177413	PE=3	SV=2
tr|F6XVE4|F6XVE4_CIOIN	Polypeptide N-acetylgalactosaminyltransferase		PE=3	SV=2
tr|F6XVF3|F6XVF3_CIOIN	Serine/threonine-protein phosphatase		PE=3	SV=2
tr|F6XVH4|F6XVH4_CIOIN	Thymidylate synthase		PE=3	SV=2
tr|F6XVJ4|F6XVJ4_CIOIN	HEAT repeat-containing protein 1		PE=3	SV=2
tr|F6XVV4|F6XVV4_CIOIN	Fibroblast growth factor		PE=3	SV=1
tr|F6XVZ5|F6XVZ5_CIOIN	Calponin	LOC100186251	PE=3	SV=1
tr|F6XW35|F6XW35_CIOIN	E3 ubiquitin-protein ligase PPP1R11	LOC100178900	PE=4	SV=1
tr|F6XWC8|F6XWC8_CIOIN	Extracellular matrix protein FRAS1		PE=3	SV=2
tr|F6XWF2|F6XWF2_CIOIN	Hyaluronan-mediated motility receptor C-terminal domain-containing protein	rhamm	PE=4	SV=2
tr|F6XWG9|F6XWG9_CIOIN	UBC core domain-containing protein		PE=3	SV=2
tr|F6XWY9|F6XWY9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6XX66|F6XX66_CIOIN	Cyclin-L1		PE=3	SV=2
tr|F6XXA7|F6XXA7_CIOIN	Extracellular matrix protein FRAS1		PE=3	SV=2
tr|F6XXK1|F6XXK1_CIOIN	"ATP synthase subunit f, mitochondrial"	LOC100178344	PE=3	SV=1
tr|F6XXW0|F6XXW0_CIOIN	Protein kinase domain-containing protein		PE=3	SV=1
tr|F6XY03|F6XY03_CIOIN	Histidine kinase/HSP90-like ATPase domain-containing protein		PE=3	SV=2
tr|F6XY19|F6XY19_CIOIN	Gamma-glutamylcyclotransferase family protein	LOC100179971	PE=3	SV=2
tr|F6XYB7|F6XYB7_CIOIN	tRNA N(3)-methylcytidine methyltransferase	LOC100181090	PE=3	SV=2
tr|F6XYL2|F6XYL2_CIOIN	Uncharacterized LOC100184498	LOC100184498	PE=4	SV=2
tr|F6XYQ4|F6XYQ4_CIOIN	Transmembrane protein 107	LOC100180339	PE=4	SV=1
tr|F6XYV2|F6XYV2_CIOIN	phosphatidate cytidylyltransferase	LOC100183841	PE=3	SV=2
tr|F6XZ31|F6XZ31_CIOIN	"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"		PE=3	SV=2
tr|F6XZ93|F6XZ93_CIOIN	phosphopyruvate hydratase	LOC100177203	PE=3	SV=2
tr|F6XZJ5|F6XZJ5_CIOIN	Craniofacial development protein 1	LOC100177517	PE=4	SV=2
tr|F6XZL0|F6XZL0_CIOIN	Small ribosomal subunit protein uS12m	LOC100182431	PE=3	SV=1
tr|F6Y025|F6Y025_CIOIN	Histidine ammonia-lyase		PE=3	SV=2
tr|F6Y080|F6Y080_CIOIN	Probable RNA polymerase II nuclear localization protein SLC7A6OS		PE=3	SV=2
tr|F6Y0G1|F6Y0G1_CIOIN	Transforming acidic coiled-coil-containing protein 3	LOC100178052	PE=3	SV=2
tr|F6Y0K7|F6Y0K7_CIOIN	L-serine ammonia-lyase	LOC100176927	PE=4	SV=2
tr|F6Y0P6|F6Y0P6_CIOIN	beta-mannosidase		PE=3	SV=2
tr|F6Y0Y2|F6Y0Y2_CIOIN	Protein kinase domain-containing protein		PE=3	SV=2
tr|F6Y178|F6Y178_CIOIN	Amino acid transporter		PE=3	SV=2
tr|F6Y1K6|F6Y1K6_CIOIN	Serine/threonine-protein phosphatase	LOC100178587	PE=3	SV=2
tr|F6Y1N2|F6Y1N2_CIOIN	PSP proline-rich domain-containing protein		PE=4	SV=2
tr|F6Y1R8|F6Y1R8_CIOIN	Phosphoinositide phospholipase C	LOC100185660	PE=4	SV=2
tr|F6Y1S7|F6Y1S7_CIOIN	Phosphoinositide phospholipase C	LOC100185660	PE=4	SV=2
tr|F6Y1V1|F6Y1V1_CIOIN	Mitochondrial carrier protein		PE=3	SV=1
tr|F6Y1X1|F6Y1X1_CIOIN	Lysosome membrane protein 2		PE=3	SV=2
tr|F6Y1Y0|F6Y1Y0_CIOIN	ATP-dependent DNA ligase family profile domain-containing protein		PE=3	SV=2
tr|F6Y1Z7|F6Y1Z7_CIOIN	Mitotic spindle assembly checkpoint protein MAD1	LOC100176070	PE=3	SV=2
tr|F6Y2C5|F6Y2C5_CIOIN	DOMON domain-containing protein		PE=3	SV=2
tr|F6Y2X0|F6Y2X0_CIOIN	Fibronectin type-III domain-containing protein	gp130-like	PE=4	SV=2
tr|F6Y321|F6Y321_CIOIN	t-SNARE coiled-coil homology domain-containing protein		PE=3	SV=2
tr|F6Y339|F6Y339_CIOIN	Transcription factor AP-2 C-terminal domain-containing protein	ap-2-like1	PE=3	SV=2
tr|F6Y3C0|F6Y3C0_CIOIN	GATA-type domain-containing protein		PE=4	SV=1
tr|F6Y3G3|F6Y3G3_CIOIN	Fibroblast growth factor		PE=3	SV=1
tr|F6Y3K6|F6Y3K6_CIOIN	Xenotropic and polytropic retrovirus receptor 1		PE=3	SV=2
tr|F6Y3M3|F6Y3M3_CIOIN	Actin maturation protease	LOC100177468	PE=3	SV=2
tr|F6Y3T4|F6Y3T4_CIOIN	t-SNARE coiled-coil homology domain-containing protein		PE=3	SV=2
tr|F6Y3U3|F6Y3U3_CIOIN	t-SNARE coiled-coil homology domain-containing protein		PE=3	SV=2
tr|F6Y3X0|F6Y3X0_CIOIN	RNA polymerase I-specific transcription initiation factor RRN3	LOC100182246	PE=3	SV=2
tr|F6Y403|F6Y403_CIOIN	Carboxypeptidase	LOC100176903	PE=3	SV=2
tr|F6Y444|F6Y444_CIOIN	Coiled-coil domain-containing protein 93		PE=3	SV=2
tr|F6Y4K6|F6Y4K6_CIOIN	Cation-transporting ATPase		PE=3	SV=2
tr|F6Y4V4|F6Y4V4_CIOIN	Ubiquitin-conjugating enzyme E2-17 kDa	LOC100175624	PE=3	SV=2
tr|F6Y4X1|F6Y4X1_CIOIN	Sodium/calcium exchanger membrane region domain-containing protein		PE=4	SV=2
tr|F6Y506|F6Y506_CIOIN	chitinase		PE=4	SV=2
tr|F6Y516|F6Y516_CIOIN	Calponin-homology (CH) domain-containing protein		PE=3	SV=2
tr|F6Y556|F6Y556_CIOIN	Major facilitator superfamily associated domain-containing protein		PE=3	SV=2
tr|F6Y572|F6Y572_CIOIN	Major facilitator superfamily associated domain-containing protein		PE=3	SV=2
tr|F6Y5B7|F6Y5B7_CIOIN	Ubiquitin-conjugating enzyme E2-17 kDa	LOC100185831	PE=3	SV=1
tr|F6Y5C7|F6Y5C7_CIOIN	"Homogentisate 1,2-dioxygenase"		PE=3	SV=2
tr|F6Y5E2|F6Y5E2_CIOIN	ATP synthase F1 subunit epsilon		PE=3	SV=1
tr|F6Y5N8|F6Y5N8_CIOIN	tRNA (uracil-O(2)-)-methyltransferase		PE=3	SV=2
tr|F6Y677|F6Y677_CIOIN	Tetratricopeptide repeat protein 8		PE=4	SV=2
tr|F6Y6B3|F6Y6B3_CIOIN	C2H2-type domain-containing protein		PE=4	SV=2
tr|F6Y6H6|F6Y6H6_CIOIN	BZIP domain-containing protein		PE=1	SV=2
tr|F6Y6K2|F6Y6K2_CIOIN	Dynein regulatory complex protein 10	LOC100183187	PE=3	SV=2
tr|F6Y6P2|F6Y6P2_CIOIN	Sema domain-containing protein		PE=4	SV=2
tr|F6Y6W3|F6Y6W3_CIOIN	Ribosomal RNA-processing protein 4	LOC100182394	PE=3	SV=2
tr|F6Y6X7|F6Y6X7_CIOIN	Large ribosomal subunit protein uL15		PE=3	SV=1
tr|F6Y7F7|F6Y7F7_CIOIN	Protein YIPF		PE=3	SV=2
tr|F6Y7H6|F6Y7H6_CIOIN	BHLH domain-containing protein		PE=4	SV=1
tr|F6Y7J1|F6Y7J1_CIOIN	Sulfotransferase	LOC100181119	PE=3	SV=2
tr|F6Y7N9|F6Y7N9_CIOIN	Protein phosphatase 1D	LOC100183669	PE=4	SV=2
tr|F6Y7P7|F6Y7P7_CIOIN	7-dehydrocholesterol reductase	LOC100176643	PE=3	SV=2
tr|F6Y7R5|F6Y7R5_CIOIN	Amine oxidase		PE=3	SV=2
tr|F6Y7X3|F6Y7X3_CIOIN	G-protein coupled receptors family 1 profile domain-containing protein		PE=4	SV=2
tr|F6Y813|F6Y813_CIOIN	Cation/H+ exchanger domain-containing protein		PE=4	SV=2
tr|F6Y836|F6Y836_CIOIN	Nuclear receptor		PE=3	SV=2
tr|F6Y8A2|F6Y8A2_CIOIN	Receptor-interacting serine/threonine-protein kinase 2-like	LOC100181177	PE=3	SV=2
tr|F6Y8H4|F6Y8H4_CIOIN	AAA+ ATPase domain-containing protein		PE=3	SV=2
tr|F6Y8I1|F6Y8I1_CIOIN	RING-type domain-containing protein		PE=3	SV=2
tr|F6Y8L3|F6Y8L3_CIOIN	Carboxypeptidase B-like	LOC100176951	PE=3	SV=2
tr|F6Y8V9|F6Y8V9_CIOIN	Peptidase M12B domain-containing protein		PE=4	SV=2
tr|F6Y921|F6Y921_CIOIN	Galactocerebrosidase		PE=3	SV=2
tr|F6Y940|F6Y940_CIOIN	Serine/threonine-protein phosphatase		PE=3	SV=2
tr|F6Y978|F6Y978_CIOIN	UDENN FNIP1/2-type domain-containing protein		PE=3	SV=2
tr|F6Y9A9|F6Y9A9_CIOIN	HMG box domain-containing protein		PE=4	SV=2
tr|F6Y9D9|F6Y9D9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6Y9W3|F6Y9W3_CIOIN	Transporter		PE=3	SV=2
tr|F6YA95|F6YA95_CIOIN	DNA primase	LOC100176054	PE=3	SV=1
tr|F6YAV6|F6YAV6_CIOIN	Tudor domain-containing protein		PE=4	SV=2
tr|F6YAZ4|F6YAZ4_CIOIN	Histone H2B-like	LOC100184966	PE=3	SV=1
tr|F6YB01|F6YB01_CIOIN	Nucleoside diphosphate kinase		PE=3	SV=2
tr|F6YB59|F6YB59_CIOIN	C3H1-type domain-containing protein		PE=4	SV=2
tr|F6YB67|F6YB67_CIOIN	Splicing factor YJU2		PE=3	SV=2
tr|F6YB82|F6YB82_CIOIN	Zinc finger protein		PE=4	SV=2
tr|F6YBA5|F6YBA5_CIOIN	Activating signal cointegrator 1 complex subunit 3		PE=4	SV=2
tr|F6YBG1|F6YBG1_CIOIN	Domain of unknown function with conserved HDNR motif domain-containing protein		PE=4	SV=2
tr|F6YBU7|F6YBU7_CIOIN	Eukaryotic translation initiation factor 4C	LOC100187398	PE=3	SV=2
tr|F6YC40|F6YC40_CIOIN	Pleckstrin homology domain-containing family A member 8	LOC100185748	PE=4	SV=2
tr|F6YCF6|F6YCF6_CIOIN	ETS domain-containing protein		PE=3	SV=2
tr|F6YCP6|F6YCP6_CIOIN	Translation initiation factor eIF-2B subunit alpha	LOC101243211	PE=3	SV=2
tr|F6YD09|F6YD09_CIOIN	guanylate cyclase		PE=3	SV=2
tr|F6YD53|F6YD53_CIOIN	NADP-dependent oxidoreductase domain-containing protein		PE=3	SV=2
tr|F6YDF4|F6YDF4_CIOIN	Multifunctional fusion protein	LOC100179556	PE=3	SV=1
tr|F6YDG1|F6YDG1_CIOIN	Anaphase-promoting complex subunit 2		PE=3	SV=2
tr|F6YDG7|F6YDG7_CIOIN	RNA helicase		PE=4	SV=2
tr|F6YDI9|F6YDI9_CIOIN	histone deacetylase	LOC100186761	PE=3	SV=2
tr|F6YDS2|F6YDS2_CIOIN	Histone-lysine N-methyltransferase		PE=3	SV=2
tr|F6YE24|F6YE24_CIOIN	Probable rRNA-processing protein EBP2	LOC100183007	PE=3	SV=1
tr|F6YEB1|F6YEB1_CIOIN	tubulin-glutamate carboxypeptidase		PE=3	SV=2
tr|F6YEG0|F6YEG0_CIOIN	Peptidase M3A/M3B catalytic domain-containing protein		PE=3	SV=2
tr|F6YEL1|F6YEL1_CIOIN	EGF-like domain-containing protein		PE=4	SV=2
tr|F6YEQ8|F6YEQ8_CIOIN	Eukaryotic translation initiation factor 2A	LOC100175728	PE=3	SV=2
tr|F6YEX5|F6YEX5_CIOIN	Metalloendopeptidase		PE=4	SV=2
tr|F6YF07|F6YF07_CIOIN	Metalloendopeptidase		PE=4	SV=2
tr|F6YF30|F6YF30_CIOIN	60S ribosomal protein L37		PE=3	SV=2
tr|F6YFB9|F6YFB9_CIOIN	S1 motif domain-containing protein		PE=4	SV=2
tr|F6YFE4|F6YFE4_CIOIN	Anoctamin		PE=3	SV=2
tr|F6YFK6|F6YFK6_CIOIN	Ets protein	ets	PE=3	SV=1
tr|F6YFR8|F6YFR8_CIOIN	Post-GPI attachment to proteins factor 3		PE=3	SV=1
tr|F6YFT9|F6YFT9_CIOIN	creatine kinase		PE=3	SV=1
tr|F6YFX5|F6YFX5_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6YFY0|F6YFY0_CIOIN	protein-synthesizing GTPase		PE=4	SV=1
tr|F6YG13|F6YG13_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6YG27|F6YG27_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6YG34|F6YG34_CIOIN	Ornithine decarboxylase		PE=3	SV=2
tr|F6YG66|F6YG66_CIOIN	Annexin	LOC100182180	PE=3	SV=1
tr|F6YG81|F6YG81_CIOIN	Protein CASP		PE=3	SV=2
tr|F6YGA9|F6YGA9_CIOIN	Aminopeptidase N-like N-terminal domain-containing protein		PE=4	SV=2
tr|F6YGC1|F6YGC1_CIOIN	RNA helicase		PE=3	SV=2
tr|F6YGD1|F6YGD1_CIOIN	Signal recognition particle subunit SRP68		PE=3	SV=2
tr|F6YGF8|F6YGF8_CIOIN	Exosome complex component RRP43	LOC100183089	PE=4	SV=2
tr|F6YGG6|F6YGG6_CIOIN	U3 small nucleolar ribonucleoprotein protein IMP3	LOC100177492	PE=3	SV=1
tr|F6YGJ1|F6YGJ1_CIOIN	Ubiquitin-like modifier-activating enzyme 5		PE=3	SV=2
tr|F6YGJ7|F6YGJ7_CIOIN	Ubiquitin carboxyl-terminal hydrolase 7		PE=3	SV=2
tr|F6YGK4|F6YGK4_CIOIN	RRM domain-containing protein		PE=3	SV=2
tr|F6YGL5|F6YGL5_CIOIN	Endoplasmic reticulum-Golgi intermediate compartment protein 3-like	LOC100187059	PE=3	SV=2
tr|F6YGR5|F6YGR5_CIOIN	Sorting nexin		PE=3	SV=2
tr|F6YGU3|F6YGU3_CIOIN	Baculoviral IAP repeat-containing protein 3	LOC100181494	PE=3	SV=2
tr|F6YGU8|F6YGU8_CIOIN	SSD domain-containing protein		PE=3	SV=2
tr|F6YH10|F6YH10_CIOIN	DNA primase large subunit		PE=3	SV=2
tr|F6YH17|F6YH17_CIOIN	BHLH domain-containing protein		PE=4	SV=1
tr|F6YH71|F6YH71_CIOIN	procollagen-proline 4-dioxygenase		PE=3	SV=2
tr|F6YH77|F6YH77_CIOIN	procollagen-proline 4-dioxygenase		PE=3	SV=2
tr|F6YH85|F6YH85_CIOIN	ShKT domain-containing protein		PE=3	SV=2
tr|F6YH93|F6YH93_CIOIN	Timeless N-terminal domain-containing protein		PE=3	SV=2
tr|F6YH98|F6YH98_CIOIN	LIM interaction domain-containing protein		PE=3	SV=2
tr|F6YHB0|F6YHB0_CIOIN	Mitochondrial chaperone BCS1		PE=3	SV=2
tr|F6YHI5|F6YHI5_CIOIN	Sulfotransferase	LOC100178779	PE=3	SV=2
tr|F6YHN3|F6YHN3_CIOIN	Bardet-Biedl syndrome 7 protein homolog		PE=4	SV=2
tr|F6YHQ3|F6YHQ3_CIOIN	Non-structural maintenance of chromosomes element 1 homolog		PE=3	SV=2
tr|F6YHT4|F6YHT4_CIOIN	AAA+ ATPase domain-containing protein		PE=3	SV=2
tr|F6YI25|F6YI25_CIOIN	tRNA (cytosine(38)-C(5))-methyltransferase-like	LOC100183289	PE=3	SV=1
tr|F6YI37|F6YI37_CIOIN	Peptidase M14 carboxypeptidase A domain-containing protein		PE=3	SV=2
tr|F6YI57|F6YI57_CIOIN	Hsp70-interacting protein N-terminal domain-containing protein		PE=3	SV=2
tr|F6YI64|F6YI64_CIOIN	Proteasome subunit alpha type	LOC100183036	PE=3	SV=2
tr|F6YIB7|F6YIB7_CIOIN	DAGKc domain-containing protein		PE=4	SV=2
tr|F6YIF4|F6YIF4_CIOIN	Protein kinase domain-containing protein		PE=3	SV=2
tr|F6YIH8|F6YIH8_CIOIN	Uncharacterized LOC100182198	LOC100182198	PE=3	SV=2
tr|F6YII5|F6YII5_CIOIN	G-protein coupled receptors family 1 profile domain-containing protein		PE=3	SV=2
tr|F6YII9|F6YII9_CIOIN	protein-tyrosine-phosphatase		PE=3	SV=2
tr|F6YIJ5|F6YIJ5_CIOIN	"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase"		PE=3	SV=2
tr|F6YIL9|F6YIL9_CIOIN	Rab GDP dissociation inhibitor		PE=3	SV=2
tr|F6YIR9|F6YIR9_CIOIN	LisH domain-containing protein		PE=3	SV=2
tr|F6YIU2|F6YIU2_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6YIU9|F6YIU9_CIOIN	Integrator complex subunit 14		PE=3	SV=2
tr|F6YIV7|F6YIV7_CIOIN	Transcription factor protein	xbpd	PE=1	SV=2
tr|F6YIX5|F6YIX5_CIOIN	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex		PE=3	SV=2
tr|F6YIY8|F6YIY8_CIOIN	Bystin-like	LOC100182572	PE=3	SV=1
tr|F6YJ84|F6YJ84_CIOIN	Mediator of RNA polymerase II transcription subunit 17	MED17	PE=3	SV=2
tr|F6YJB7|F6YJB7_CIOIN	DNA repair protein complementing XP-A cells homolog	LOC100179498	PE=3	SV=1
tr|F6YJC3|F6YJC3_CIOIN	GATOR complex protein WDR24		PE=3	SV=2
tr|F6YJR3|F6YJR3_CIOIN	Homeobox domain-containing protein		PE=3	SV=1
tr|F6YJY4|F6YJY4_CIOIN	Dynein regulatory complex protein 10	LOC100183187	PE=3	SV=2
tr|F6YKF5|F6YKF5_CIOIN	MyoD-family protein j	myod	PE=4	SV=2
tr|F6YKG6|F6YKG6_CIOIN	Probable E3 ubiquitin-protein ligase MARCH10	LOC100175070	PE=4	SV=2
tr|F6YKH7|F6YKH7_CIOIN	"Inositol 1,4,5-trisphosphate receptor"		PE=3	SV=2
tr|F6YKR1|F6YKR1_CIOIN	DNA mismatch repair proteins mutS family domain-containing protein		PE=3	SV=2
tr|F6YKS6|F6YKS6_CIOIN	RZ-type domain-containing protein		PE=4	SV=2
tr|F6YKU7|F6YKU7_CIOIN	"Inositol 1,4,5-trisphosphate receptor"		PE=3	SV=2
tr|F6YKZ8|F6YKZ8_CIOIN	Metalloendopeptidase	LOC100176208	PE=4	SV=2
tr|F6YL86|F6YL86_CIOIN	2-hydroxyacyl-CoA lyase 2	LOC100178631	PE=3	SV=2
tr|F6YLE1|F6YLE1_CIOIN	GPI inositol-deacylase		PE=3	SV=2
tr|F6YLE5|F6YLE5_CIOIN	GPI inositol-deacylase		PE=3	SV=2
tr|F6YLP6|F6YLP6_CIOIN	Homeobox domain-containing protein		PE=4	SV=2
tr|F6YLQ9|F6YLQ9_CIOIN	proline--tRNA ligase		PE=4	SV=2
tr|F6YLW1|F6YLW1_CIOIN	Condensin complex subunit 3	LOC100176733	PE=3	SV=2
tr|F6YLY7|F6YLY7_CIOIN	Flavin-containing monooxygenase		PE=3	SV=2
tr|F6YM02|F6YM02_CIOIN	diphthine methyl ester synthase	LOC100181968	PE=3	SV=2
tr|F6YM26|F6YM26_CIOIN	Anaphase-promoting complex subunit 4 WD40 domain-containing protein		PE=3	SV=2
tr|F6YMG8|F6YMG8_CIOIN	Sodium channel protein		PE=3	SV=2
tr|F6YMT8|F6YMT8_CIOIN	Phosphatidylinositol glycan anchor biosynthesis class U protein	LOC100179414	PE=3	SV=2
tr|F6YMW5|F6YMW5_CIOIN	NEDD4 family-interacting protein 1-like	LOC113475151	PE=4	SV=2
tr|F6YMZ5|F6YMZ5_CIOIN	Small ribosomal subunit protein eS28		PE=3	SV=2
tr|F6YN07|F6YN07_CIOIN	proton-translocating NAD(P)(+) transhydrogenase	LOC100177202	PE=3	SV=2
tr|F6YN13|F6YN13_CIOIN	Phosphodiesterase		PE=3	SV=2
tr|F6YN20|F6YN20_CIOIN	Spermatogenesis associated 17		PE=4	SV=2
tr|F6YN50|F6YN50_CIOIN	BZIP domain-containing protein	nf-il2	PE=3	SV=2
tr|F6YN96|F6YN96_CIOIN	3'-5' exonuclease domain-containing protein		PE=4	SV=2
tr|F6YNE2|F6YNE2_CIOIN	Aryl hydrocarbon receptor nuclear translocator	arnt	PE=4	SV=2
tr|F6YNG6|F6YNG6_CIOIN	Protein arginine N-methyltransferase	LOC100186564	PE=3	SV=2
tr|F6YNH3|F6YNH3_CIOIN	Dynein regulatory complex protein 1/2 N-terminal domain-containing protein		PE=4	SV=2
tr|F6YNJ1|F6YNJ1_CIOIN	Histidine kinase/HSP90-like ATPase domain-containing protein		PE=3	SV=2
tr|F6YNK9|F6YNK9_CIOIN	KAT8 regulatory NSL complex subunit 2		PE=4	SV=2
tr|F6YNP9|F6YNP9_CIOIN	DOMON domain-containing protein		PE=3	SV=2
tr|F6YNQ3|F6YNQ3_CIOIN	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial"		PE=3	SV=2
tr|F6YNT4|F6YNT4_CIOIN	Coronin		PE=3	SV=2
tr|F6YP38|F6YP38_CIOIN	Oligosaccharyltransferase complex subunit	LOC100186213	PE=3	SV=2
tr|F6YP84|F6YP84_CIOIN	Anoctamin		PE=3	SV=2
tr|F6YPI9|F6YPI9_CIOIN	Transporter		PE=3	SV=2
tr|F6YPP1|F6YPP1_CIOIN	chitinase		PE=4	SV=1
tr|F6YQ21|F6YQ21_CIOIN	BAG family molecular chaperone regulator 1		PE=4	SV=2
tr|F6YQ66|F6YQ66_CIOIN	CUB domain-containing protein		PE=4	SV=2
tr|F6YQ94|F6YQ94_CIOIN	Optic atrophy 3 protein homolog	LOC100185809	PE=3	SV=2
tr|F6YQB2|F6YQB2_CIOIN	Nitric oxide synthase-interacting protein	LOC100180053	PE=3	SV=2
tr|F6YQI1|F6YQI1_CIOIN	Progestin and adipoQ receptor family member 3		PE=3	SV=2
tr|F6YQR4|F6YQR4_CIOIN	Nucleolar complex protein 2 homolog		PE=3	SV=2
tr|F6YQS6|F6YQS6_CIOIN	AMP deaminase		PE=3	SV=2
tr|F6YR40|F6YR40_CIOIN	beta-N-acetylhexosaminidase		PE=3	SV=2
tr|F6YR52|F6YR52_CIOIN	beta-N-acetylhexosaminidase		PE=4	SV=2
tr|F6YR71|F6YR71_CIOIN	peptidylprolyl isomerase		PE=4	SV=2
